feature,importance
load_group,0.3989684031917712
total_chiller_load,0.3035119354504518
dew_point,0.15193499593859333
temp_x_rh,0.0490522356087753
wet_bulb,0.035271787304919464
temperature,0.01559217961702669
temp_ma3,0.013912562385933663
hours_since_transition,0.010480976070472065
hour,0.007679149871383119
ssrd,0.0075279485082432596
RH,0.0058511016896325
is_transition_period,0.0001946761761024836
is_chiller_transition,2.20481866954137e-05
