time,CH1-CH-CH_raw_temp_chwr,CH1-CH-CH_raw_temp_chws,CH1-CH-CH_raw_temp_cws,CH1-CH-CH_raw_temp_cwr,CH1-CH-CH_raw_power_active_total,CH1-percentage_current,CH2-CH-CH_raw_temp_chwr,CH2-CH-CH_raw_temp_chws,CH2-CH-CH_raw_temp_cws,CH2-CH-CH_raw_temp_cwr,CH2-CH-CH_raw_power_active_total,CH2-percentage_current,CH3-CH-CH_raw_temp_chwr,CH3-CH-CH_raw_temp_chws,CH3-CH-CH_raw_temp_cws,CH3-CH-CH_raw_temp_cwr,CH3-CH-CH_raw_power_active_total,CH3-percentage_current,CH4-CH-CH_raw_temp_chwr,CH4-CH-CH_raw_temp_chws,CH4-CH-CH_raw_temp_cws,CH4-CH-CH_raw_temp_cwr,CH4-CH-CH_raw_power_active_total,CH4-percentage_current,CH5-CH-CH_raw_temp_chwr,CH5-CH-CH_raw_temp_chws,CH5-CH-CH_raw_temp_cws,CH5-CH-CH_raw_temp_cwr,CH5-CH-CH_raw_power_active_total,CH5-percentage_current,CWP1-CWP-PUMP_raw_power_active_total,CWP2-CWP-PUMP_raw_power_active_total,CHWP1-CHWP-PUMP_raw_power_active_total,CHWP2-CHWP-PUMP_raw_power_active_total,CT1_5-CT-CT_raw_power_active_total,CT5_10-CT-CT_raw_power_active_total,CHPL-CHPL-CHPL_raw_chws_pressure_low,CHPL-CHPL-CHPL_raw_chwr_pressure_low,CHPL-CHPL-CHPL_raw_chws_pressure_medium,CHPL-CHPL-CHPL_raw_chwr_pressure_medium,CHPL-CHPL-CHPL_raw_temp_chws_header_low,CHPL-CHPL-CHPL_raw_temp_chwr_header_low,CHPL-CHPL-CHPL_raw_temp_chws_header_medium,CHPL-CHPL-CHPL_raw_temp_chwr_header_medium,CHPL-CHPL-CHPL_raw_temp_cws_header,CHPL-CHPL-CHPL_raw_temp_cwr_header,CHPL-CHPL-CHPL_raw_load_building,CHPL-CHPL-CHPL_cal_power_plant,CHPL-CHPL-CHPL_cal_eff_plant,CHPL-CHPL-CHPL_raw_delta_temperature_header,CHPL-CHPL-CHPL_raw_delta_pressure_header,pres,temperature,RH,ws,wd,ssrd,ws_u,ws_v,total_chiller_power,total_pump_power,total_ct_power,total_plant_power,hour,day_of_week,month,is_cooling_season,is_weekend,is_working_hour,dew_point,wet_bulb,low_temp_load,medium_temp_load,delta_temp_header,cooling_water_delta,temp_lag1,temp_lag2,temp_lag3,temp_ma3,temp_ma6,temp_x_rh,ssrd_x_temp
2025-05-24 07:00:00,12.3999999999999,10.0499999999999,29.8199999999999,29.2,0,0.0,10.5673333333333,6.99999999999999,24.4513333333333,29.2983333333333,898.0,56.9166666666666,9.61,8.30433333333333,30.0893333333333,29.1883333333333,0,0.0,10.1199999999999,6.98,24.5633333333333,29.3,953,63.6933333333333,10.29,10.5366666666666,29.0733333333333,29.2166666666666,1.0,0.0,147.0,103.0,294.0,14.0,82.0,80.0,4.95203,3.55489,4.88906666666666,3.53545333333333,6.72666666666666,10.0533333333333,7.90666666666666,11.2466666666666,26.4499999999999,29.0066666666666,3298.34847222222,2572.0,0.77978419250139,2.55666666666667,1.39714,971.15,16.815,47.0,0.63611,224.08002,125.66,0.4425177657485128,0.4569616604234366,1852.0,558.0,162.0,2572.0,7,5,5,1,1,0,6.215000000000002,12.575000000000001,3.3266666666666405,3.3399999999999403,2.55666666666667,2.5566666666667004,14.632,14.75,15.838,15.398999999999996,15.866499999999997,790.3050000000001,2112.9729
2025-05-24 08:00:00,12.4066666666666,10.0499999999999,29.7999999999999,29.2866666666666,0,0.0,10.5173333333333,6.99966666666666,24.6793333333333,29.4556666666666,880.0,56.87,9.61,8.33,30.0599999999999,29.2983333333333,0,0.0,9.94666666666666,6.99,24.8166666666666,29.2766666666666,890,61.56,10.1633333333333,10.4333333333333,29.1033333333333,29.2499999999999,0.0,0.0,144.0,103.0,290.0,15.0,83.0,77.0,4.95145,3.53893,4.88817333333333,3.5189,6.76666666666666,9.83333333333333,7.87666666666666,11.1999999999999,26.64,29.0733333333333,3238.73152777777,2482.0,0.766349411401505,2.43333333333334,1.41252,971.84,18.966,50.1,0.36775,97.97803,295.34,-0.3641906807662318,0.0510412631409981,1770.0,552.0,160.0,2482.0,8,5,5,1,1,1,8.986,14.974,3.06666666666667,3.32333333333324,2.43333333333334,2.433333333333298,16.815,14.632,14.75,16.804333333333332,16.232499999999998,950.1966000000001,5601.4184399999995
2025-05-24 09:00:00,12.45,10.1166666666666,29.7433333333333,29.3066666666666,0,0.0,10.5356666666666,7.0,24.679,29.4779999999999,902.0,56.6866666666666,9.61,8.30433333333333,30.028,29.3679999999999,0,0.0,9.86333333333333,7.0,24.7766666666666,29.1766666666666,896,60.8266666666666,10.1499999999999,10.4366666666666,29.0933333333333,29.24,0.0,0.0,147.0,104.0,295.0,17.0,84.0,80.0,4.94537333333333,3.52612666666666,4.88047,3.50747333333333,6.74,9.74,7.89333333333333,11.2199999999999,26.6466666666666,29.02,3213.66324074074,2525.0,0.785707714482863,2.37333333333333,1.41924666666666,971.85,20.666,50.3,0.64218,111.17999,460.62,-0.5988007655692876,0.2320189551602087,1798.0,563.0,164.0,2525.0,9,5,5,1,1,1,10.725999999999999,16.689999999999998,3.0,3.3266666666665694,2.37333333333333,2.373333333333399,18.966,16.815,14.632,18.815666666666665,16.9445,1039.4998,9519.17292
2025-05-24 10:00:00,12.4699999999999,10.1399999999999,29.7,29.3899999999999,0,0.0,10.4693333333333,6.99666666666666,24.4039999999999,29.1659999999999,874.0,56.4033333333333,9.61,8.286,29.94,29.2416666666666,0,0.0,9.70333333333333,6.98999999999999,24.4933333333333,28.65,833,59.03,10.0366666666666,10.32,28.9599999999999,29.07,0.0,0.0,145.0,103.0,292.0,15.0,83.0,79.0,4.9079,3.52067,4.84090666666666,3.50267666666666,6.73666666666666,9.45333333333333,7.84,11.1333333333333,26.4466666666666,28.64,3156.78101851851,2424.0,0.767870810734153,2.19333333333333,1.38722999999999,971.84,22.823,45.5,0.34413,136.66998,643.78,-0.2361418593109688,0.2503247474405169,1707.0,555.0,162.0,2424.0,10,5,5,1,1,1,11.923,18.463,2.7166666666666694,3.293333333333301,2.19333333333333,2.193333333333399,20.666,18.966,16.815,20.81833333333333,18.108666666666668,1038.4465,14692.99094
2025-05-24 11:00:00,12.46,10.0733333333333,29.7,29.2999999999999,0,0.0,10.4803333333333,7.004,24.3863333333333,29.1743333333333,876.0,56.7399999999999,9.61,8.33,29.94,29.0849999999999,0,0.0,9.91333333333333,7.01333333333333,24.5133333333333,28.9066666666666,879,61.2299999999999,10.14,10.37,29.0,29.1,0.0,0.0,146.0,102.0,293.0,15.0,83.0,78.0,4.88994666666666,3.51638666666666,4.82487333333333,3.49815,6.75666666666666,9.71999999999999,7.88,11.16,26.47,28.7466666666666,3226.15180555555,2472.0,0.766237966776121,2.27666666666666,1.37356,971.18,24.674,38.1,0.75469,69.502014,816.02,-0.7069064243882526,-0.2642731603069363,1755.0,556.0,161.0,2472.0,11,5,5,1,1,1,12.294,19.722,2.9633333333333303,3.2800000000000002,2.27666666666666,2.2766666666666,22.823,20.666,18.966,22.720999999999993,19.762666666666664,940.0794,20134.477479999998
2025-05-24 12:00:00,12.5,10.1699999999999,29.7,29.2366666666666,0,0.0,10.4449999999999,6.992,24.3773333333333,29.0533333333333,861.0,56.05,9.61,8.28966666666666,29.94,29.0156666666666,0,0.0,9.9,7.00333333333333,24.4933333333333,28.8366666666666,864,61.0,10.1366666666666,10.3266666666666,29.01,29.09,0.0,0.0,145.0,102.0,290.0,14.0,82.0,78.0,4.90064333333333,3.50573333333333,4.83613333333333,3.48809333333333,6.74999999999999,9.74666666666666,7.87333333333333,11.1266666666666,26.4566666666666,28.6966666666666,3200.99236111111,2436.0,0.761013999781751,2.24,1.39490999999999,970.42,25.96,33.5,0.8104,110.54999,866.52,-0.7588312335557962,0.2844702426971733,1725.0,551.0,160.0,2436.0,12,5,5,1,1,1,12.66,20.64,2.9966666666666706,3.253333333333269,2.24,2.240000000000002,24.674,22.823,20.666,24.485666666666663,21.650666666666666,869.6600000000001,22494.8592
2025-05-24 13:00:00,12.5,10.0266666666666,29.7,29.2,0,0.0,10.4723333333333,6.98799999999999,24.479,29.2196666666666,871.0,56.0466666666666,9.61,8.31533333333333,29.94,29.1479999999999,0,0.0,9.95333333333333,6.98666666666666,24.6033333333333,29.0533333333333,889,62.3466666666666,10.1833333333333,10.4033333333333,29.1,29.1833333333333,1.0,0.0,145.0,102.0,292.0,16.0,83.0,79.0,4.90219,3.50442333333333,4.84151,3.48625,6.73333333333333,9.82666666666666,7.87666666666666,11.15,26.5766666666666,28.8666666666666,3237.72879629629,2478.0,0.765351317514497,2.29,1.39776666666666,969.5,26.963,30.3,1.0993,109.31,968.42,-1.0374569564452187,0.3635155478427621,1761.0,555.0,162.0,2478.0,13,5,5,1,1,1,13.023,21.387,3.093333333333331,3.2733333333333405,2.29,2.289999999999999,25.96,24.674,22.823,25.865666666666666,23.342000000000002,816.9789000000001,26111.50846
2025-05-24 14:00:00,12.5,10.1099999999999,29.7533333333333,29.2966666666666,0,0.0,10.5213333333333,7.01166666666666,24.5773333333333,29.4033333333333,888.0,57.3466666666666,9.61,8.24566666666666,29.94,29.1956666666666,0,0.0,10.25,7.02,24.6866666666666,29.6333333333333,980,67.4033333333333,10.3433333333333,10.5666666666666,29.1466666666666,29.3333333333333,0.0,0.0,146.0,103.0,293.0,17.0,83.0,78.0,4.86116333333333,3.50183666666666,4.79938666666666,3.48319,6.75666666666666,10.3266666666666,7.94666666666666,11.23,26.6066666666666,29.1933333333333,3411.56597222222,2588.0,0.758595911986492,2.58666666666666,1.35932666666666,968.93,26.897,29.6,1.8336,124.95001,787.55,-1.5029142229434058,1.0503988758916387,1868.0,559.0,161.0,2588.0,14,5,5,1,1,1,12.816999999999997,21.264999999999997,3.5699999999999408,3.2833333333333403,2.58666666666666,2.586666666666698,26.963,25.96,24.674,26.606666666666666,24.663833333333333,796.1512,21182.73235
2025-05-24 15:00:00,12.5,10.1466666666666,29.7999999999999,29.3233333333333,0,0.0,10.5586666666666,6.99066666666666,24.7863333333333,29.6789999999999,920.0,58.0366666666666,9.66133333333333,8.31533333333333,29.9919999999999,29.4229999999999,0,0.0,10.4166666666666,7.01,24.9033333333333,30.0633333333333,1043,70.4566666666666,10.4033333333333,10.6333333333333,29.2,29.6766666666666,0.0,0.0,148.0,103.0,297.0,20.0,83.0,80.0,4.84477,3.50526666666666,4.78149999999999,3.48749666666666,6.73333333333333,10.4633333333333,7.94666666666666,11.2433333333333,26.8266666666666,29.4866666666666,3513.93574074074,2694.0,0.766661714602698,2.65999999999999,1.33950333333333,968.12,27.486,29.4,2.4587,123.83002,790.94,-2.042424597183571,1.3688343416277686,1963.0,568.0,163.0,2694.0,15,5,5,1,1,1,13.366000000000001,21.838,3.7299999999999693,3.29666666666664,2.65999999999999,2.66,26.897,26.963,25.96,27.11533333333333,25.8005,808.0884,21739.776840000002
2025-05-24 16:00:00,12.5,10.1499999999999,29.7999999999999,29.4333333333333,0,0.0,10.5493333333333,6.99066666666666,24.8286666666666,29.7223333333333,904.0,57.94,9.63566666666667,8.33,30.0599999999999,29.6063333333333,0,0.0,10.4233333333333,7.0,24.9499999999999,30.1966666666666,1041,69.9966666666666,10.3933333333333,10.7033333333333,29.2999999999999,29.8733333333333,1.0,0.0,145.0,102.0,292.0,19.0,83.0,78.0,4.84147333333333,3.50458666666666,4.77822999999999,3.48744333333333,6.71999999999999,10.55,7.94666666666666,11.2366666666666,26.8933333333333,29.5266666666666,3498.7124537037,2665.0,0.761708781520143,2.63333333333333,1.33688666666666,967.38,27.322,29.2,2.3246,132.77002,509.82,-1.7064546453931644,1.5785365701231289,1946.0,558.0,161.0,2665.0,16,5,5,1,1,1,13.161999999999999,21.658,3.8300000000000107,3.2899999999999405,2.63333333333333,2.633333333333301,27.486,26.897,26.963,27.234999999999996,26.55033333333333,797.8023999999999,13929.302039999999
