time,predicted_energy,actual_energy,abs_error,rel_error,savings,savings_rate,date
2025-12-01 16:00:00,1999.21,1969.28,29.930000000000064,1.519844816379594,-29.930000000000064,-1.4970913510836812,2025-12-01
2025-12-01 17:00:00,1995.86,1797.33,198.52999999999997,11.045829090929322,-198.52999999999997,-9.947090477287986,2025-12-01
2025-12-01 18:00:00,2043.97,1848.91,195.05999999999995,10.549999729570391,-195.05999999999995,-9.543192904005437,2025-12-01
2025-12-01 19:00:00,2041.29,1878.51,162.77999999999997,8.665378411613458,-162.77999999999997,-7.974369148920535,2025-12-01
2025-12-01 20:00:00,1830.1,1875.67,45.570000000000164,2.429531847286578,45.570000000000164,2.490027867329663,2025-12-01
2025-12-01 21:00:00,1819.79,1873.21,53.42000000000007,2.8517891747321484,53.42000000000007,2.935503547112583,2025-12-01
2025-12-01 22:00:00,1976.33,1889.51,86.81999999999994,4.594842048996826,-86.81999999999994,-4.39299104906569,2025-12-01
2025-12-01 23:00:00,1817.65,1926.0,108.34999999999991,5.625649013499475,108.34999999999991,5.960993590625253,2025-12-01
2025-12-02 00:00:00,2025.17,1778.53,246.6400000000001,13.867632258100798,-246.6400000000001,-12.178730674461901,2025-12-02
2025-12-02 01:00:00,1818.13,1894.12,75.98999999999978,4.011889426224304,75.98999999999978,4.179569117719843,2025-12-02
2025-12-02 02:00:00,1974.88,1801.25,173.6300000000001,9.639417071478146,-173.6300000000001,-8.791926598071786,2025-12-02
2025-12-02 03:00:00,1802.67,1842.48,39.809999999999945,2.1606747427380455,39.809999999999945,2.2083908868511677,2025-12-02
2025-12-02 04:00:00,1808.87,1846.41,37.54000000000019,2.033134569245194,37.54000000000019,2.0753287964309317,2025-12-02
2025-12-02 05:00:00,1782.32,1876.66,94.34000000000015,5.027016081762287,94.34000000000015,5.29310112662149,2025-12-02
2025-12-02 06:00:00,1800.66,1825.69,25.029999999999973,1.370988502976955,25.029999999999973,1.3900458720691287,2025-12-02
2025-12-02 07:00:00,1807.65,1835.67,28.019999999999982,1.5264181470525737,28.019999999999982,1.5500788316322285,2025-12-02
2025-12-02 08:00:00,1740.98,1813.0,72.01999999999998,3.972421400992829,72.01999999999998,4.1367505657732995,2025-12-02
2025-12-02 09:00:00,1813.11,1842.08,28.970000000000027,1.5726787110223244,28.970000000000027,1.597807082857633,2025-12-02
2025-12-02 10:00:00,1791.11,1768.58,22.529999999999973,1.2739033574958427,-22.529999999999973,-1.2578791922327481,2025-12-02
2025-12-02 11:00:00,1774.25,1778.22,3.9700000000000273,0.22325696483000007,3.9700000000000273,0.22375651683810213,2025-12-02
2025-12-02 12:00:00,1817.0,1768.12,48.88000000000011,2.764518245367968,-48.88000000000011,-2.690148596587788,2025-12-02
2025-12-02 13:00:00,1769.44,1766.62,2.8200000000001637,0.15962685806795823,-2.8200000000001637,-0.15937245682250675,2025-12-02
2025-12-02 14:00:00,1815.94,1741.25,74.69000000000005,4.289447236180908,-74.69000000000005,-4.113021355331126,2025-12-02
2025-12-02 15:00:00,1791.31,1715.42,75.88999999999987,4.423989460307089,-75.88999999999987,-4.236564302102924,2025-12-02
2025-12-02 16:00:00,1806.43,1782.3,24.13000000000011,1.3538685967570054,-24.13000000000011,-1.3357838388423635,2025-12-02
2025-12-02 17:00:00,1813.02,1817.81,4.789999999999964,0.26350388654479645,4.789999999999964,0.26420006398164186,2025-12-02
2025-12-02 18:00:00,1758.21,1821.72,63.50999999999999,3.4862657268954607,63.50999999999999,3.6121964952991954,2025-12-02
2025-12-02 19:00:00,1799.64,1793.87,5.770000000000209,0.321650955754888,-5.770000000000209,-0.32061967949146547,2025-12-02
2025-12-02 20:00:00,1789.39,1807.0,17.6099999999999,0.974543442169336,17.6099999999999,0.9841342580432382,2025-12-02
2025-12-02 21:00:00,1804.91,1787.8,17.110000000000127,0.9570421747399108,-17.110000000000127,-0.9479697048606371,2025-12-02
2025-12-02 22:00:00,1812.44,1829.75,17.309999999999945,0.946030878535316,17.309999999999945,0.9550660987398173,2025-12-02
2025-12-02 23:00:00,1968.29,1825.27,143.01999999999998,7.835553096254253,-143.01999999999998,-7.266205691234523,2025-12-02
2025-12-03 00:00:00,1830.58,1812.4,18.179999999999836,1.0030898256455438,-18.179999999999836,-0.9931278611150476,2025-12-03
2025-12-03 01:00:00,1966.78,1810.69,156.08999999999992,8.620470649310478,-156.08999999999992,-7.936322313629381,2025-12-03
2025-12-03 02:00:00,1818.94,1760.19,58.75,3.3377078610831785,-58.75,-3.2299031303946255,2025-12-03
2025-12-03 03:00:00,1767.2,1779.14,11.940000000000055,0.6711107613790963,11.940000000000055,0.6756450882752407,2025-12-03
2025-12-03 04:00:00,1817.13,1786.75,30.38000000000011,1.7002938295788503,-30.38000000000011,-1.6718671751608363,2025-12-03
2025-12-03 05:00:00,1809.74,1757.19,52.549999999999955,2.990570171694578,-52.549999999999955,-2.9037320278050966,2025-12-03
2025-12-03 06:00:00,1813.07,1758.64,54.429999999999836,3.0950052313150977,-54.429999999999836,-3.002090377095194,2025-12-03
2025-12-03 07:00:00,1816.85,1715.62,101.23000000000002,5.900490784672598,-101.23000000000002,-5.571731293172251,2025-12-03
2025-12-03 08:00:00,1676.09,1666.23,9.8599999999999,0.591755039820427,-9.8599999999999,-0.5882738993729394,2025-12-03
2025-12-03 09:00:00,1756.5,1698.21,58.289999999999964,3.4324376843853215,-58.289999999999964,-3.31853116994022,2025-12-03
2025-12-03 10:00:00,1801.29,1764.94,36.34999999999991,2.059560098360279,-36.34999999999991,-2.017998212392225,2025-12-03
