pres,temperature,RH,ws,wd,ssrd,time,ws_u,ws_v
974.95,10.836,38.5,1.1658,49.67401,0.0,2025-04-01 00:00:00,-0.888776612062734,-0.7544307614687304
974.7,10.306,40.1,0.666,49.618988,0.0,2025-04-01 01:00:00,-0.5073275344101998,-0.43147974787846943
974.4,10.095,40.9,0.39996,240.63,0.0,2025-04-01 02:00:00,0.34855343248633663,0.19615939004287503
974.11,9.6619,41.7,0.97574,261.61,0.0,2025-04-01 03:00:00,0.9652974492213381,0.14237058027127059
973.97,9.3273,42.4,1.3161,278.97,0.0,2025-04-01 04:00:00,1.3000042471611815,-0.205202746967212
973.81,8.7224,44.2,1.089,262.99,0.0,2025-04-01 05:00:00,1.080859579412778,0.1329043625756224
974.32,8.3983,45.1,1.4359,259.07,0.0,2025-04-01 06:00:00,1.4098521536248207,0.2722603807377321
974.84,9.0053,46.3,1.9355,276.21,13.12,2025-04-01 07:00:00,1.9241426783638385,-0.20936858240632436
975.12,11.301,40.5,2.4351,273.27,171.5,2025-04-01 08:00:00,2.431135219408347,-0.13890124172349125
975.14,14.078,33.6,2.4889,273.07,397.0,2025-04-01 09:00:00,2.4853280527954102,-0.13329546124371736
975.09,16.212,29.6,3.1904,281.53,480.16,2025-04-01 10:00:00,3.1260183070361847,-0.637700324662476
974.56,19.093,25.4,4.4251,284.91,773.32,2025-04-01 11:00:00,4.276112133222969,-1.1385846626857874
973.53,21.322,20.9,4.9363,287.37,904.72,2025-04-01 12:00:00,4.711188800909361,-1.4736884922486924
972.6,22.75,13.6,5.7557,286.3,942.56,2025-04-01 13:00:00,5.524351319021582,-1.6154333765353825
971.57,23.243,13.2,5.4525,271.56,897.22,2025-04-01 14:00:00,5.450479109505441,-0.14843761937182096
970.39,23.416,13.6,5.3987,259.78,723.84,2025-04-01 15:00:00,5.313042788527853,0.9578820476823687
969.88,23.45,13.5,6.3038,264.31,593.28,2025-04-01 16:00:00,6.272740480023391,0.6249970482137652
969.97,22.947,14.8,5.7284,264.85,373.74,2025-04-01 17:00:00,5.70527508647297,0.5142010770805875
970.44,21.15,20.8,4.5074,260.49,170.66,2025-04-01 18:00:00,4.445453811406761,0.7447114680526257
970.83,18.585,21.7,3.9181,271.73,36.78,2025-04-01 19:00:00,3.916314090421769,-0.11828590433315755
971.54,17.221,23.3,2.9926,267.21,0.0,2025-04-01 20:00:00,2.989052715670401,0.14566613519758378
972.56,15.95,25.3,2.5963,257.04,0.0,2025-04-01 21:00:00,2.5301641198157903,0.5822741766528768
973.27,15.116,26.8,2.7168,269.55,0.0,2025-04-01 22:00:00,2.7167162074893647,0.021337477934450125
973.59,14.57,26.9,2.8156,278.46,0.0,2025-04-01 23:00:00,2.7849629292407356,-0.41422800817286604
973.26,13.641,26.2,2.4604,284.47,0.0,2025-04-02 00:00:00,2.3823526829997945,-0.6147876493584431
973.06,12.95,26.1,2.4761,261.67,0.0,2025-04-02 01:00:00,2.449977315108752,0.3587232435353355
